ScenarioId	StepNumber	Replication	Time	Site	Product	Variable	Average	SimpleAverage	StdDev	Min	Max	Current	Total	Period
0	1	1	08/15/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						607.000000		8	
0	1	1	08/15/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		8	
0	1	1	08/16/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						618.000000		8	
0	1	1	08/16/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		8	
0	1	1	08/30/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						609.000000		8	
0	1	1	08/30/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		8	
0	1	1	09/02/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						636.000000		9	
0	1	1	09/02/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		9	
0	1	1	09/02/2016 00:00:00	"PLANT2"	"BULK LINE"	QUEUEDEPTH						41592.000000		9	
0	1	1	09/02/2016 00:00:00	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						541159.000000		9	
0	1	1	09/02/2016 00:00:00	"PLANT2"	"BULK LINE"	QUEUEDEPTH						0.000000		9	
0	1	1	09/02/2016 00:00:00	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						1040979.000000		9	
0	1	1	09/02/2016 00:00:00	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						1392545.000000		9	
0	1	1	09/02/2016 00:00:00	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						851386.000000		9	
0	1	1	09/05/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						43441.000000		9	
0	1	1	09/05/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		9	
0	1	1	09/05/2016 00:00:00	"PLANT2"	"BULK LINE"	QUEUEDEPTH						43441.000000		9	
0	1	1	09/05/2016 00:00:00	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						1025150.000000		9	
0	1	1	09/05/2016 00:00:00	"PLANT2"	"BULK LINE"	QUEUEDEPTH						0.000000		9	
0	1	1	09/05/2016 00:00:00	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						1112032.000000		9	
0	1	1	09/05/2016 00:00:00	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						1242355.000000		9	
0	1	1	09/05/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						597.000000		9	
0	1	1	09/05/2016 03:09:40	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						742535.000000		9	
0	1	1	09/06/2016 18:14:04	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		9	
0	1	1	09/08/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						580.000000		9	
0	1	1	09/08/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		9	
0	1	1	09/08/2016 00:34:50	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						390969.000000		9	
0	1	1	09/10/2016 01:24:33	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						217205.000000		9	
0	1	1	09/11/2016 01:32:35	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						130323.000000		9	
0	1	1	09/11/2016 13:36:36	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						0.000000		9	
0	1	1	09/14/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						9635.000000		9	
0	1	1	09/14/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		9	
0	1	1	09/14/2016 00:00:00	"PLANT2"	"BULK LINE"	QUEUEDEPTH						10812.000000		9	
0	1	1	09/14/2016 00:00:00	"PLANT2"	"BULK LINE"	QUEUEDEPTH						0.000000		9	
0	1	1	09/17/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						513.000000		9	
0	1	1	09/17/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		9	
0	1	1	09/18/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						599.000000		9	
0	1	1	09/18/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		9	
0	1	1	09/23/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						593.000000		9	
0	1	1	09/23/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		9	
